"Source","Target","Type","Weight"
"girl","femal","Undirected",1
"heart","blood","Undirected",1
"male","femal","Undirected",2
"male","girl","Undirected",1
"puls","blood","Undirected",2
"puls","heart","Undirected",1
"selfreport","blood","Undirected",1
"selfreport","heart","Undirected",1
"selfreport","puls","Undirected",1
"skin","blood","Undirected",2
"skin","heart","Undirected",2
"skin","puls","Undirected",2
"skin","selfreport","Undirected",1
"wave","heart","Undirected",1
"wave","skin","Undirected",1
"besid","wall","Undirected",1
"competit","wave","Undirected",1
"gameplay","girl","Undirected",1
"gender","femal","Undirected",1
"gender","girl","Undirected",1
"gender","male","Undirected",1
"gender","selfreport","Undirected",1
"gender","gameplay","Undirected",1
"negat","competit","Undirected",1
"probabilist","selfreport","Undirected",1
"probabilist","gender","Undirected",1
"public","circulatori","Undirected",1
"public","besid","Undirected",1
"qti","eassess","Undirected",1
"serious","heart","Undirected",1
"serious","skin","Undirected",1
"serious","wave","Undirected",1
"statement","negat","Undirected",1
"tangibl","besid","Undirected",1
"tangibl","figur","Undirected",1
"uptak","eassess","Undirected",1
"uptak","qti","Undirected",1
"uptak","selfreflect","Undirected",1
